Caenorhabditis_afra	0
Caenorhabditis_angaria	0
Caenorhabditis_auriculariae	25
Caenorhabditis_bovis	0
Caenorhabditis_brenneri	0
Caenorhabditis_briggsae	1
Caenorhabditis_doughertyi	2
Caenorhabditis_drosophilae	0
Caenorhabditis_elegans	2
Caenorhabditis_imperialis	0
Caenorhabditis_inopinata	0
Caenorhabditis_japonica	11
Caenorhabditis_kamaaina	1
Caenorhabditis_latens	1
Caenorhabditis_macrosperma	0
Caenorhabditis_monodelphis	28
Caenorhabditis_nigoni	0
Caenorhabditis_parvicauda	9
Caenorhabditis_plicata	0
Caenorhabditis_quiockensis	0
Caenorhabditis_remanei	1
Caenorhabditis_sinica	6
Caenorhabditis_sp36	0
Caenorhabditis_sp8	0
Caenorhabditis_sulstoni	0
Caenorhabditis_tropicalis	0
Caenorhabditis_uteleia	0
Caenorhabditis_virilis	1
Caenorhabditis_wallacei	0
Caenorhabditis_zanzibari	0
Diploscapter_coronatus	0
